epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1188.96,1.6843,3.05138,1.63771,0.56518,0.30344,0.27877,0.1561,1.4315,2.7555,1.50281,0.000234281,0.000234281,0.000234281
2,2317.11,1.48615,1.88999,1.44681,0.51241,0.28646,0.21652,0.12087,1.47543,2.19781,1.56608,0.00046293,0.00046293,0.00046293
3,3405.51,1.50186,1.86358,1.46769,0.52454,0.23468,0.21397,0.11975,1.51344,2.08783,1.61991,0.000682154,0.000682154,0.000682154
4,4530.04,1.47709,1.78315,1.45147,0.38715,0.35449,0.18557,0.10298,1.56422,2.3035,1.59979,0.000671588,0.000671588,0.000671588
5,5700.56,1.4936,1.73569,1.45414,0.59557,0.25635,0.24347,0.13453,1.48952,1.69711,1.57344,0.000657451,0.000657451,0.000657451
6,6789.76,1.42982,1.64265,1.42591,0.42906,0.28628,0.2565,0.14,1.51186,1.85208,1.62502,0.000643314,0.000643314,0.000643314
7,7860.21,1.41969,1.61408,1.41255,0.47494,0.30407,0.26439,0.1518,1.46502,1.55221,1.53916,0.000629177,0.000629177,0.000629177
8,8964.2,1.41304,1.56665,1.41216,0.60565,0.27551,0.28975,0.16927,1.47,1.59608,1.56136,0.00061504,0.00061504,0.00061504
9,10032,1.40739,1.50701,1.40535,0.47268,0.26236,0.26506,0.15573,1.40613,1.56466,1.54283,0.000600902,0.000600902,0.000600902
10,11120.2,1.39283,1.48518,1.41091,0.74004,0.27177,0.3195,0.18413,1.42678,1.5651,1.54487,0.000586765,0.000586765,0.000586765
11,12115.4,1.36311,1.42671,1.39185,0.49653,0.35564,0.32651,0.19031,1.46562,1.42097,1.56277,0.000572628,0.000572628,0.000572628
12,13195.4,1.3529,1.40356,1.37745,0.48387,0.29872,0.30104,0.16689,1.43686,1.50392,1.54745,0.000558491,0.000558491,0.000558491
13,14270.5,1.33,1.33027,1.36181,0.5623,0.30328,0.31417,0.17689,1.43168,1.53264,1.54378,0.000544354,0.000544354,0.000544354
14,15327.8,1.31679,1.2916,1.35648,0.41928,0.38927,0.3582,0.21046,1.42305,1.36103,1.54032,0.000530216,0.000530216,0.000530216
15,16366.1,1.30198,1.2622,1.33903,0.51284,0.32985,0.33516,0.19597,1.3869,1.31023,1.48953,0.000516079,0.000516079,0.000516079
16,17437.9,1.32377,1.28338,1.34747,0.45184,0.34251,0.33876,0.1997,1.41277,1.43405,1.51634,0.000501942,0.000501942,0.000501942
17,18509,1.30732,1.22104,1.33934,0.50952,0.327,0.34485,0.20398,1.41728,1.33543,1.53925,0.000487805,0.000487805,0.000487805
18,19575.6,1.26058,1.16056,1.323,0.65811,0.33737,0.3608,0.21252,1.36777,1.28491,1.49075,0.000473668,0.000473668,0.000473668
19,20646.7,1.28648,1.17726,1.33023,0.37419,0.40638,0.33902,0.20068,1.4098,1.35566,1.51198,0.00045953,0.00045953,0.00045953
20,21721.9,1.25483,1.15511,1.32514,0.46789,0.34598,0.36748,0.21867,1.38754,1.25304,1.52898,0.000445393,0.000445393,0.000445393
21,22761.3,1.25267,1.10902,1.31148,0.59329,0.30652,0.35229,0.21639,1.38288,1.27345,1.49764,0.000431256,0.000431256,0.000431256
22,23819.6,1.23304,1.08656,1.29839,0.42023,0.3435,0.38503,0.22561,1.39472,1.28924,1.48346,0.000417119,0.000417119,0.000417119
23,24873.1,1.23728,1.08654,1.28366,0.54353,0.41562,0.45485,0.2731,1.35996,1.30145,1.45472,0.000402982,0.000402982,0.000402982
24,26045.7,1.20445,1.01893,1.26269,0.37828,0.49347,0.41245,0.25608,1.3437,1.19582,1.45418,0.000388844,0.000388844,0.000388844
25,27111.8,1.20817,0.99403,1.2766,0.49698,0.36605,0.38548,0.22975,1.35573,1.16385,1.48317,0.000374707,0.000374707,0.000374707
26,28159.4,1.20419,1.00974,1.28623,0.36127,0.35507,0.3698,0.22355,1.40557,1.21964,1.52671,0.00036057,0.00036057,0.00036057
27,29215.5,1.20002,0.97822,1.27221,0.37968,0.56024,0.47695,0.30413,1.36335,1.22241,1.45122,0.000346433,0.000346433,0.000346433
28,30288.4,1.17706,0.95708,1.2526,0.45415,0.36456,0.36999,0.22622,1.34456,1.24268,1.46909,0.000332296,0.000332296,0.000332296
29,31323.6,1.15274,0.93362,1.24475,0.48504,0.48202,0.44436,0.26155,1.34607,1.28067,1.48151,0.000318158,0.000318158,0.000318158
30,32364.3,1.1534,0.89918,1.25604,0.45308,0.35471,0.39818,0.23498,1.38663,1.26814,1.48238,0.000304021,0.000304021,0.000304021
31,33400.6,1.12327,0.8678,1.22718,0.47323,0.49602,0.39125,0.24074,1.39678,1.22178,1.50527,0.000289884,0.000289884,0.000289884
32,34469.5,1.15066,0.89739,1.24233,0.52791,0.43134,0.44667,0.27273,1.35668,1.17467,1.45729,0.000275747,0.000275747,0.000275747
33,35451.8,1.12327,0.87482,1.22039,0.41938,0.40078,0.40839,0.23962,1.36707,1.20406,1.48655,0.00026161,0.00026161,0.00026161
34,36484.6,1.09125,0.83837,1.21656,0.37846,0.39912,0.39733,0.24483,1.34276,1.21818,1.46975,0.000247472,0.000247472,0.000247472
35,37491.6,1.11002,0.82962,1.21227,0.39896,0.40246,0.38586,0.23819,1.35962,1.2124,1.48828,0.000233335,0.000233335,0.000233335
36,38473.7,1.09482,0.80665,1.21587,0.48346,0.4962,0.40501,0.24456,1.36086,1.19007,1.46962,0.000219198,0.000219198,0.000219198
37,39447.4,1.08168,0.78289,1.19894,0.49927,0.4098,0.4212,0.2599,1.34465,1.16013,1.47104,0.000205061,0.000205061,0.000205061
38,40422.8,1.06396,0.76796,1.1798,0.51033,0.36762,0.40338,0.25011,1.40716,1.13203,1.55789,0.000190924,0.000190924,0.000190924
39,41382.8,1.0744,0.76276,1.20507,0.42062,0.52422,0.42615,0.26286,1.36869,1.15411,1.49364,0.000176786,0.000176786,0.000176786
40,42339.3,1.03455,0.7441,1.17926,0.38895,0.54758,0.41514,0.2521,1.40453,1.15531,1.51407,0.000162649,0.000162649,0.000162649
